uid,昵称,性别,点赞,个人签名,等级,评论内容
84408740,sabew,保密,0,成人难免睡眠时候少,6,今天就抽出一个[笑哭]
619260601,简并态半振弦,保密,2,一犬吠影 百犬吠声 一犬行 百犬出 虽不知其所 仍恐失其物,5,知道为什么会突然有节奏吗[吃瓜]显然预谋已久就等应交发新游戏给你们整这一出，商战就是这么朴实无华
207335646,坠入二次元的深渊,保密,0,,5,[喜极而泣]
207335646,坠入二次元的深渊,保密,0,,5,[脱单doge]
3461580687673431,bili_83197687616,保密,0,,3,希望60就出钟离
3461580687673431,bili_83197687616,保密,0,,3,4.0钟离不歪玩到关服✿ヽ(°▽°)ノ✿
164997877,枫Map1e,男,0,求关注QAQ,5,音乐会
457374653,网友马顺头,保密,1,gsl和dog不得上桌,5,真的不知道喷什么，老米第一次搞线下的音乐会，肯定是要摸索，宽容一点没啥的，现在这么多带节奏的不难想有多少某某厂商的人，我就不多说了[嗑瓜子][嗑瓜子]
3546384064055696,王某灏,保密,1,,2,今天入坑原神不知道该干什么，16级没到
28248745,闭嘴中,保密,1,这个人懒死了，什么都不想写,6,附上id 100721993  最多是在办公本上登录了一次  真有你的[疑惑]
3493078247672222,烟花易冷-一,男,0,,2,冰系迪卢克
687280688,选择题选x,保密,0,摆烂式躺平,4,愚人众小男孩！都到我的壶里来！
1115056187,原神代练肝-Cat余生,男,0,"原穹双修有需要的老板联系

vx:aa15892514139

qq:1296558319",5,祝各位十连双簧哦[滑稽]
85518967,温迪狂热信徒,女,0,＼温迪／＼温迪／我们都爱温迪,5,你池子里有菲米尼?
1620679223,申鹤不歪-,保密,0,,3,菲米尼好可爱
1620679223,申鹤不歪-,保密,0,,3,[脱单doge][脱单doge]
43791109,千瓦石,女,0,ありふれたせかいせいふ.,5,谁来带带我[大哭]
283413950,小黑子就会拉黑,保密,2,骂完拉黑真的爽，学到了学到了！,5,音乐会？
148774498,ハートちゃん,男,1,梦想是雨天的夜里坐在红魔馆窗边喝红茶,6,希望游戏里可以增加一个标记模式，关掉的话将不再允许增减和点击标记点。现在每次去紧贴着标记的传送锚点，都要呼出标记和锚点，再点一下才能传送[辣眼睛]
569958123,錨头鹰,女,0,我向往自由,5,怎么70抽了一个菲米尼都没有…你让我出一个吧我真的很想要很喜欢[酸了][酸了][酸了]
1036735325,ys_财迷,保密,0,,3,这机智不是五星吗？[微笑]
482698129,TenE01,保密,1,  请允许我们在此献上最后的告别，以此纪念其在哔哩哔哩留下的回忆与足迹。请点此查看纪念账号相关说明,5,五命了[吃瓜]
604137435,青衫苍梧,男,5,无聊,5,最近一堆机器人宣传群聊的能不能管管？[辣眼睛]
1543072983,红茶BA,保密,2,,4,哈哈，原神萌新菲米尼刚出的第二天就抽到了
533260227,丶君の名は_,女,0,hi,5,100抽了一只菲米尼都没有[大哭][大哭]
3546377478998335,电竞教官-云悠悠,保密,0,,2,有没有一起玩的啊！
18387635,日日支棱起来了,女,0,别让我离开我的画笔，让我和它葬在一起。,6,卡池里面根本就没有菲米尼...[保卫萝卜_哭哭][保卫萝卜_哭哭]
